,stage,averageExpData,number_of_cells
19,epi15,0.18760294151228235,33
20,epi15,0.22635593098465223,30
21,epi15,0.2353673864734125,33
22,epi15,0.19210928971921742,28
23,epi15,0.19709264265628273,28
18,epi15,0.2363497605692716,33
35,epi40,0.3010147983754014,52
24,epi40,0.2371959092202663,71
25,epi40,0.2557154682798451,62
26,epi40,0.18722134576258836,47
28,epi40,0.24078193981523247,52
29,epi40,0.34283651097289575,64
30,epi40,0.2178039071624795,60
31,epi40,0.2240052243654669,59
32,epi40,0.206985464948291,56
33,epi40,0.37808409620171285,64
27,epi40,0.2466046249395319,57
34,epi40,0.25271189927495674,49
0,epi65,0.23399784272646407,79
7,epi65,0.19468793365453893,89
1,epi65,0.2226216763626135,67
2,epi65,0.3813822728556652,82
12,epi65,0.1805677064646013,63
11,epi65,0.36040237393564145,66
10,epi65,0.2301390476855159,65
9,epi65,0.17476882867383403,76
8,epi65,0.22381038638779413,65
3,epi65,0.27978771354027754,80
6,epi65,0.24801301022148678,87
5,epi65,0.3416915478250349,71
4,epi65,0.24917957963549786,82
15,epi90,0.25439389261782674,104
13,epi90,0.47069048434936833,110
14,epi90,0.3081832519352949,95
16,epi90,0.39126334140417307,111
17,epi90,0.4090728826686786,104
