filename,type,embryo_number
wildtype,epi15,1
wildtype,epi15,2
wildtype,epi15,3
wildtype,epi15,4
wildtype,epi15,5
wildtype,epi15,6
wildtype,epi40,1
wildtype,epi40,2
wildtype,epi40,3
wildtype,epi40,4
wildtype,epi40,5
wildtype,epi40,6
wildtype,epi40,7
wildtype,epi40,8
wildtype,epi40,9
wildtype,epi40,10
wildtype,epi40,11
wildtype,epi40,12
wildtype,epi65,1
wildtype,epi65,2
wildtype,epi65,3
wildtype,epi65,4
wildtype,epi65,5
wildtype,epi65,6
wildtype,epi65,7
wildtype,epi65,8
wildtype,epi65,9
wildtype,epi65,10
wildtype,epi65,11
wildtype,epi65,12
wildtype,epi65,13
wildtype,epi90,1
wildtype,epi90,2
wildtype,epi90,3
wildtype,epi90,4
wildtype,epi90,5
